prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status,clip_score,clip_model,hpsv2_score,hpsv2_version,imagereward_score,imagereward_model
p3001,3000,0,4,"Illustration of New York City skyline with intricate lines and shading, showcasing iconic buildings and busy streets.",top,3012349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3001__seed_3012349.png,14.283088,ok,32.173248291015625,ViT-B-32/laion2b_s34b_b79k,0.30908203125,v2.1,0.8793248534202576,ImageReward-v1.0
p3002,3001,1,4,"Toothless, a playful claymation dragon, exploring a whimsical world.",top,3013349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3002__seed_3013349.png,13.957443,ok,34.6788215637207,ViT-B-32/laion2b_s34b_b79k,0.3525390625,v2.1,1.8705508708953857,ImageReward-v1.0
p3003,3002,2,4,A pixelated autumn tree on a yellow field under a blue sky.,top,3014349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3003__seed_3014349.png,14.034609,ok,39.76696014404297,ViT-B-32/laion2b_s34b_b79k,0.346923828125,v2.1,1.866270899772644,ImageReward-v1.0
p3004,3003,3,4,"A weathered Star Wars helmet and armor set, bathed in the vibrant neon glow of a futuristic city, with intricate details and a mysterious, dark atmosphere.",top,3015349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3004__seed_3015349.png,14.147821,ok,36.36546325683594,ViT-B-32/laion2b_s34b_b79k,0.30078125,v2.1,1.3054449558258057,ImageReward-v1.0
p3005,3004,4,4,"Vibrant anime sunrise over Austin's bustling downtown, with colorful neon lights casting soft glows, dynamic cityscape, and high-resolution details.",top,3016349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3005__seed_3016349.png,14.194732,ok,28.91607666015625,ViT-B-32/laion2b_s34b_b79k,0.260009765625,v2.1,1.0842589139938354,ImageReward-v1.0
p3006,3005,5,4,"Cinematic moody: A lone figure stands under a dim streetlight in a misty, rain-soaked alley, the light casting long shadows and reflecting off the wet cobblestones, captured in a high-contrast, grainy film style.",top,3017349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3006__seed_3017349.png,14.575668,ok,36.16675567626953,ViT-B-32/laion2b_s34b_b79k,0.286865234375,v2.1,1.8369386196136475,ImageReward-v1.0
p3007,3006,6,4,"Shanghai by Neon Light, cinematic, grainy, dreamy, neon-lit streets, rain-soaked, bustling, 8k, concept art, trending on ArtStation",top,3018349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3007__seed_3018349.png,14.252444,ok,40.043216705322266,ViT-B-32/laion2b_s34b_b79k,0.284423828125,v2.1,1.6783370971679688,ImageReward-v1.0
p3008,3007,7,4,"cinematic, grainy, sarah shahi from last of us, intricate, elegant, highly detailed, digital painting, smooth, sharp focus, illustration, art by artgerm and greg rutkowski, film noir lighting, textured grain, dynamic shadows",top,3019349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3008__seed_3019349.png,14.426969,ok,37.21205520629883,ViT-B-32/laion2b_s34b_b79k,0.284423828125,v2.1,0.44388553500175476,ImageReward-v1.0
p3009,3008,8,4,"mature Toothless with cybernetic enhancements, neon-lit streets, vibrant glow, cinematic angles, futuristic cityscape, ethereal glow, high resolution, blender render, unreal engine",top,3020349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3009__seed_3020349.png,14.286475,ok,35.283203125,ViT-B-32/laion2b_s34b_b79k,0.353515625,v2.1,1.8522173166275024,ImageReward-v1.0
p3010,3009,9,4,"elon musk as iron man, smiling, anime key visual, vibrant color palette, dynamic pose, sharp lines, detailed mechanical suit, cinematic lighting, dramatic shadows, smooth gradients, anime-style eyes, high resolution, photorealistic, digital illustration",top,3021349,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_5thseed/chunk_3/images/p3010__seed_3021349.png,14.440607,ok,42.59886169433594,ViT-B-32/laion2b_s34b_b79k,0.331298828125,v2.1,1.767824649810791,ImageReward-v1.0
