prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status,clip_score,clip_model,hpsv2_score,hpsv2_version,imagereward_score,imagereward_model
p001,0,0,0,"Dwight from The Office as a Jedi, 8-bit pixel art, retro game sprite, vibrant colors, clean lines, sharp details, nostalgic gaming aesthetic",top,12345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p001__seed_12345.png,16.091093,ok,40.42364883422852,ViT-B-32/laion2b_s34b_b79k,0.3349609375,v2.1,1.6484315395355225,ImageReward-v1.0
p002,1,1,0,"digital illustration of nick cave baking pizza, neon colors, surreal and unsettling, intricate details, vivid and vibrant, by kuvshinov ilya, wayne barlowe, and artgerm",top,13345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p002__seed_13345.png,14.579272,ok,50.06264877319336,ViT-B-32/laion2b_s34b_b79k,0.338134765625,v2.1,1.877834439277649,ImageReward-v1.0
p003,2,2,0,"Two highly detailed anime-style baseball cakes, with intricate bat motifs and the number 4 on top, showcasing vibrant colors, dynamic shading, and a soft golden hour light, with rich textures and a serene mood.",top,14345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p003__seed_14345.png,14.669674,ok,42.001991271972656,ViT-B-32/laion2b_s34b_b79k,0.340576171875,v2.1,0.9798740148544312,ImageReward-v1.0
p004,3,3,0,"A pixelated bedroom with a large window framed by soft curtains, showcasing a blocky mountain landscape under a serene sky with a misty ambiance.",top,15345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p004__seed_15345.png,14.755154,ok,41.19855880737305,ViT-B-32/laion2b_s34b_b79k,0.32177734375,v2.1,1.9254194498062134,ImageReward-v1.0
p005,4,4,0,"a pixel art gorilla at sunset near a pixelated lake, 8-bit colors, retro gaming style",top,16345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p005__seed_16345.png,14.754221,ok,42.25169372558594,ViT-B-32/laion2b_s34b_b79k,0.334228515625,v2.1,1.4781090021133423,ImageReward-v1.0
p006,5,5,0,"A highly detailed anime scene of an old mouse meticulously selecting orange juice in a bustling supermarket, with vibrant colors and intricate background details.",top,17345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p006__seed_17345.png,14.764003,ok,49.03149032592773,ViT-B-32/laion2b_s34b_b79k,0.346923828125,v2.1,1.6497223377227783,ImageReward-v1.0
p007,6,6,0,"Young girl in forest at night, holding monster energy can, illuminated by camera flash, short ginger hair, shades, vintage digital photo, 2003, grainy, moody.",top,18345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p007__seed_18345.png,14.849531,ok,47.36231994628906,ViT-B-32/laion2b_s34b_b79k,0.31640625,v2.1,1.9318771362304688,ImageReward-v1.0
p008,7,7,0,"create a neon-lit, ironic logo for ""Media Dullies"" with sleek, futuristic fonts, glowing cybernetic elements, and a dynamic, high-contrast composition in a vibrant color palette, set against a smooth gradient background with sharp focus and photorealistic detail",top,19345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p008__seed_19345.png,14.803217,ok,45.155853271484375,ViT-B-32/laion2b_s34b_b79k,0.255859375,v2.1,1.3484128713607788,ImageReward-v1.0
p009,8,8,0,"Vibrant neonpunk portrait of a German Shepherd on a blue round canvas, with neon and cybernetic elements.",top,20345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p009__seed_20345.png,14.806574,ok,43.05659103393555,ViT-B-32/laion2b_s34b_b79k,0.370849609375,v2.1,1.9050511121749878,ImageReward-v1.0
p010,9,9,0,"pixel art portrait of nicolas cage, 8-bit cloudy sky, lush pixelated landscape, retro game aesthetic, vibrant palette, detailed pixel work, nostalgic charm",top,21345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p010__seed_21345.png,14.816252,ok,44.02102279663086,ViT-B-32/laion2b_s34b_b79k,0.28271484375,v2.1,1.497613549232483,ImageReward-v1.0
