prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status
p001,0,0,0,"Dwight from The Office as a Jedi, 8-bit pixel art, retro game sprite, vibrant colors, clean lines, sharp details, nostalgic gaming aesthetic",top,12345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p001__seed_12345.png,16.091093,ok
p002,1,1,0,"digital illustration of nick cave baking pizza, neon colors, surreal and unsettling, intricate details, vivid and vibrant, by kuvshinov ilya, wayne barlowe, and artgerm",top,13345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p002__seed_13345.png,14.579272,ok
p003,2,2,0,"Two highly detailed anime-style baseball cakes, with intricate bat motifs and the number 4 on top, showcasing vibrant colors, dynamic shading, and a soft golden hour light, with rich textures and a serene mood.",top,14345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p003__seed_14345.png,14.669674,ok
p004,3,3,0,"A pixelated bedroom with a large window framed by soft curtains, showcasing a blocky mountain landscape under a serene sky with a misty ambiance.",top,15345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p004__seed_15345.png,14.755154,ok
p005,4,4,0,"a pixel art gorilla at sunset near a pixelated lake, 8-bit colors, retro gaming style",top,16345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p005__seed_16345.png,14.754221,ok
p006,5,5,0,"A highly detailed anime scene of an old mouse meticulously selecting orange juice in a bustling supermarket, with vibrant colors and intricate background details.",top,17345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p006__seed_17345.png,14.764003,ok
p007,6,6,0,"Young girl in forest at night, holding monster energy can, illuminated by camera flash, short ginger hair, shades, vintage digital photo, 2003, grainy, moody.",top,18345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p007__seed_18345.png,14.849531,ok
p008,7,7,0,"create a neon-lit, ironic logo for ""Media Dullies"" with sleek, futuristic fonts, glowing cybernetic elements, and a dynamic, high-contrast composition in a vibrant color palette, set against a smooth gradient background with sharp focus and photorealistic detail",top,19345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p008__seed_19345.png,14.803217,ok
p009,8,8,0,"Vibrant neonpunk portrait of a German Shepherd on a blue round canvas, with neon and cybernetic elements.",top,20345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p009__seed_20345.png,14.806574,ok
p010,9,9,0,"pixel art portrait of nicolas cage, 8-bit cloudy sky, lush pixelated landscape, retro game aesthetic, vibrant palette, detailed pixel work, nostalgic charm",top,21345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p010__seed_21345.png,14.816252,ok
p011,10,10,0,"Hatsune Miku, sitting at a table, teacup in hand, eyes closed, looking sleepy, no makeup, pixelated texture, forest background, night, smiling, muted colors, low contrast, soft lighting, 8-bit style, retro animation",top,22345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p011__seed_22345.png,14.97191,ok
p012,11,11,0,"a golden wall with the word KA-BOOM in gleaming, photographic detail, under soft golden hour light, with rich textures and sharp focus, in a high-resolution image",top,23345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p012__seed_23345.png,14.807398,ok
p013,12,12,0,"An Australian shepherd with neon-lit fur, shimmering in vibrant hues of electric blue and neon pink, standing in a cybernetic urban landscape with intricate circuit patterns, glowing highlights, and a dynamic perspective, bathed in soft golden hour light, high resolution, photorealistic.",top,24345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p013__seed_24345.png,15.194637,ok
p014,13,13,0,"8-bit pixel art of a blue knight, green car, and glacier landscape in Norway, fantasy style, colorful and detailed.",top,25345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p014__seed_25345.png,14.805711,ok
p015,14,14,0,"Yoda holding a green balloon, cubist interpretation, fragmented planes, muted colors, Tokyo suburbs, geometric shapes, intricate details, modern art influence, soft golden hour light, dynamic perspective, high resolution, photorealistic, sharp focus.",top,26345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p015__seed_26345.png,14.782573,ok
p016,15,15,0,"Impressionist portrait of a dapper Indian gentleman amidst a bouquet of lilies, bathed in soft golden hour light, with gentle brushstrokes and intricate details, evoking a nostalgic mood, matte finish, high resolution.",top,27345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p016__seed_27345.png,14.872299,ok
p017,16,16,0,"attractive young girl with short ginger hair and shades, standing in a dark forest at night, holding a monster energy can, illuminated by a sudden camera flash, vintage digital photo from 2003, stark contrasts, grainy texture, moody atmosphere, high resolution, dynamic perspective",top,28345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p017__seed_28345.png,14.841043,ok
p018,17,17,0,"magnificent fantasy art: Yoda and a majestic elephant playing soccer, ethereal glow, intricate detailing, mythical forest backdrop, dramatic chiaroscuro lighting, 8k resolution, high detail, vibrant color palette, serene mood",top,29345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p018__seed_29345.png,14.774804,ok
p019,18,18,0,"8-bit furniture logo with a pixelated chair and sculptures, using rich shades of brown and beige. The name ""NUOVA"" in bold, chunky pixels, set against a clean, high-resolution background with a subtle, misty ambiance.",top,30345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p019__seed_30345.png,14.770226,ok
p020,19,19,0,"Gouache painting of a powerful, mysterious pasta wizard, intricate noodle details, vibrant fantasy colors, smooth texture, sharp focus, high resolution, anthropomorphic, magical, ethereal glow, dynamic perspective, artstation quality",top,31345,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_1seed/chunk_0/images/p020__seed_31345.png,14.789857,ok
