prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status,clip_score,clip_model,hpsv2_score,hpsv2_version,imagereward_score,imagereward_model
p5001,5000,0,2,"anime combat fighter in a rain-soaked street battle, dark city, neon light reflections, pillars of light, dynamic action, Studio Ghibli style",bottom,5012347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5001__seed_5012347.png,14.355706,ok,36.01536560058594,ViT-B-32/laion2b_s34b_b79k,0.281494140625,v2.1,1.149150013923645,ImageReward-v1.0
p5002,5001,1,2,"four teacups surrounding a kettle, digital matte painting, smooth gradients, intricate textures, ethereal golden light, seamless blend of reality and fantasy, high resolution, dynamic perspective",bottom,5013347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5002__seed_5013347.png,14.394634,ok,38.28520965576172,ViT-B-32/laion2b_s34b_b79k,0.31591796875,v2.1,1.4228816032409668,ImageReward-v1.0
p5003,5002,2,2,A vibrant winter market bustling under a pixelated sun.,bottom,5014347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5003__seed_5014347.png,14.17362,ok,39.8487548828125,ViT-B-32/laion2b_s34b_b79k,0.3486328125,v2.1,1.7750039100646973,ImageReward-v1.0
p5004,5003,3,2,"cutout animation of a studious scene, vibrant colors, flat shapes, minimalist details, wallpaper for exam study leave",bottom,5015347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5004__seed_5015347.png,14.231022,ok,36.31528472900391,ViT-B-32/laion2b_s34b_b79k,0.2388916015625,v2.1,0.9715683460235596,ImageReward-v1.0
p5005,5004,4,2,"Helmet, enchanted dragon armor, tattered magical cape, glowing dragon sword, monster hunter style.",bottom,5016347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5005__seed_5016347.png,14.278378,ok,33.62436294555664,ViT-B-32/laion2b_s34b_b79k,0.284912109375,v2.1,1.549530029296875,ImageReward-v1.0
p5006,5005,5,2,"cinematic portrait of a young tempest priest, d&d character, gradient white to cyan background, bubbles and water effects, high production value, detailed lighting, dramatic shadows, 4K resolution, professional cinematography",bottom,5017347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5006__seed_5017347.png,14.687062,ok,36.132057189941406,ViT-B-32/laion2b_s34b_b79k,0.31396484375,v2.1,1.529837727546692,ImageReward-v1.0
p5007,5006,6,2,"a 1980s sci-fi double door, photo realistic portrait, 8k, detailed textures, cinematic lighting, hyper-realistic, by Ron Cobb, Artgerm, and Greg Rutkowski",bottom,5018347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5007__seed_5018347.png,14.338636,ok,37.347774505615234,ViT-B-32/laion2b_s34b_b79k,0.25732421875,v2.1,0.42477384209632874,ImageReward-v1.0
p5008,5007,7,2,"Squirrel/tiger, magic the gathering, D&D, fantasy, cinematic bokeh, centered, symmetrical, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, volumetric lighting, epic composition, 8k, art by Akihiko Yoshida, Greg Rutkowski, and Craig Mullins, oil painting, cgsociety",bottom,5019347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5008__seed_5019347.png,14.368093,ok,30.05409240722656,ViT-B-32/laion2b_s34b_b79k,0.3056640625,v2.1,0.026554662734270096,ImageReward-v1.0
p5009,5008,8,2,"A cozy home studio bathed in soft golden hour light, a focused seamstress in a radiant yellow dress works meticulously with her intricate sewing machine, rendered in hyper-realistic 3D with octane render, high resolution, and rich textures.",bottom,5020347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5009__seed_5020347.png,14.38858,ok,39.36460113525391,ViT-B-32/laion2b_s34b_b79k,0.389892578125,v2.1,1.9266477823257446,ImageReward-v1.0
p5010,5009,9,2,"cinematic, grainy, modular sci-fi solar air monitor, high-quality concept art, realistic, detailed, atmospheric lighting, depth of field",bottom,5021347,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_3rdseed/chunk_5/images/p5010__seed_5021347.png,14.935853,ok,32.70147705078125,ViT-B-32/laion2b_s34b_b79k,0.282958984375,v2.1,0.052993472665548325,ImageReward-v1.0
