prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status,clip_score,clip_model,hpsv2_score,hpsv2_version,imagereward_score,imagereward_model
p5001,5000,0,1,"anime combat fighter in a rain-soaked street battle, dark city, neon light reflections, pillars of light, dynamic action, Studio Ghibli style",bottom,5012346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5001__seed_5012346.png,14.384707,ok,41.27900695800781,ViT-B-32/laion2b_s34b_b79k,0.33447265625,v2.1,1.7231459617614746,ImageReward-v1.0
p5002,5001,1,1,"four teacups surrounding a kettle, digital matte painting, smooth gradients, intricate textures, ethereal golden light, seamless blend of reality and fantasy, high resolution, dynamic perspective",bottom,5013346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5002__seed_5013346.png,14.129811,ok,38.51849365234375,ViT-B-32/laion2b_s34b_b79k,0.37255859375,v2.1,1.3219084739685059,ImageReward-v1.0
p5003,5002,2,1,A vibrant winter market bustling under a pixelated sun.,bottom,5014346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5003__seed_5014346.png,14.696291,ok,41.0408935546875,ViT-B-32/laion2b_s34b_b79k,0.336181640625,v2.1,1.813868761062622,ImageReward-v1.0
p5004,5003,3,1,"cutout animation of a studious scene, vibrant colors, flat shapes, minimalist details, wallpaper for exam study leave",bottom,5015346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5004__seed_5015346.png,14.221894,ok,30.69405937194824,ViT-B-32/laion2b_s34b_b79k,0.260009765625,v2.1,1.038605809211731,ImageReward-v1.0
p5005,5004,4,1,"Helmet, enchanted dragon armor, tattered magical cape, glowing dragon sword, monster hunter style.",bottom,5016346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5005__seed_5016346.png,14.36281,ok,31.271595001220703,ViT-B-32/laion2b_s34b_b79k,0.279541015625,v2.1,1.4271769523620605,ImageReward-v1.0
p5006,5005,5,1,"cinematic portrait of a young tempest priest, d&d character, gradient white to cyan background, bubbles and water effects, high production value, detailed lighting, dramatic shadows, 4K resolution, professional cinematography",bottom,5017346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5006__seed_5017346.png,14.316421,ok,36.183719635009766,ViT-B-32/laion2b_s34b_b79k,0.3359375,v2.1,0.7499777674674988,ImageReward-v1.0
p5007,5006,6,1,"a 1980s sci-fi double door, photo realistic portrait, 8k, detailed textures, cinematic lighting, hyper-realistic, by Ron Cobb, Artgerm, and Greg Rutkowski",bottom,5018346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5007__seed_5018346.png,14.564823,ok,39.932167053222656,ViT-B-32/laion2b_s34b_b79k,0.256591796875,v2.1,0.9094201326370239,ImageReward-v1.0
p5008,5007,7,1,"Squirrel/tiger, magic the gathering, D&D, fantasy, cinematic bokeh, centered, symmetrical, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, volumetric lighting, epic composition, 8k, art by Akihiko Yoshida, Greg Rutkowski, and Craig Mullins, oil painting, cgsociety",bottom,5019346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5008__seed_5019346.png,14.42179,ok,36.25273513793945,ViT-B-32/laion2b_s34b_b79k,0.299072265625,v2.1,-0.028898900374770164,ImageReward-v1.0
p5009,5008,8,1,"A cozy home studio bathed in soft golden hour light, a focused seamstress in a radiant yellow dress works meticulously with her intricate sewing machine, rendered in hyper-realistic 3D with octane render, high resolution, and rich textures.",bottom,5020346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5009__seed_5020346.png,14.38229,ok,36.65502548217773,ViT-B-32/laion2b_s34b_b79k,0.359130859375,v2.1,1.8490365743637085,ImageReward-v1.0
p5010,5009,9,1,"cinematic, grainy, modular sci-fi solar air monitor, high-quality concept art, realistic, detailed, atmospheric lighting, depth of field",bottom,5021346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_5/images/p5010__seed_5021346.png,14.375014,ok,33.95893478393555,ViT-B-32/laion2b_s34b_b79k,0.2666015625,v2.1,0.9827993512153625,ImageReward-v1.0
