prompt_id,prompt_index,local_prompt_index,replicate_id,prompt,split,seed,seeds_per_prompt,seed_stride,model_id,num_inference_steps,guidance_scale,height,width,image_path,total_runtime_sec,status
p7001,7000,0,1,"futuristic cityscape with Tadao Ando architecture, holographic elements, stylized plants, ground-level view at sunrise, foggy atmosphere, vibrant colors, manga style, detailed linework, dynamic lighting with vivid red and orange glow, cinematic angles, high contrast, 8k, hyper-detailed, trending on Artstation",bottom,7012346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7001__seed_7012346.png,17.851968,ok
p7002,7001,1,1,"In the midst of a raging storm, Charlie and Rachel race through the flooded streets of the city, dynamic anime lines and vibrant colors emphasizing their determination. They reach a devastated construction site, ready to lend their hands and restore order, under the dramatic chiaroscuro of the stormy sky.",bottom,7013346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7002__seed_7013346.png,14.491327,ok
p7003,7002,2,1,"Highly detailed 3D model of several medieval ships ablaze, dark smoke columns ascending, fiery backdrop, stormy atmosphere, dark storm clouds overhead, fog, moody cinematic lighting, atmospheric, dark",bottom,7014346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7003__seed_7014346.png,14.203459,ok
p7004,7003,3,1,"A pixelated astronaut launches into a vibrant, blocky sky.",bottom,7015346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7004__seed_7015346.png,14.262249,ok
p7005,7004,4,1,"highly detailed digital art of an anthropomorphic capybara pirate in elaborate, intricate attire, ultra realistic, 4K, octane render, soft golden hour light, rich textures, dynamic perspective, vibrant color palette, sharp focus",bottom,7016346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7005__seed_7016346.png,14.360586,ok
p7006,7005,5,1,"A digital painterly rendering of an intricate orange and gray machine with a central spiral element, balanced composition, fluid brushstroke-like piping, and a vibrant color palette, under soft golden hour light, with rich textures and high resolution.",bottom,7017346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7006__seed_7017346.png,14.450619,ok
p7007,7006,6,1,"Handsome werelizard with intricate reptile skin, set in a detailed swamp landscape, bathed in dark, magical night light, highly detailed digital art, sharp focus, elegant and matte, inspired by WLOP, Artgerm, Greg Rutkowski, and Alphonse Mucha, masterpiece.",bottom,7018346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7007__seed_7018346.png,14.440773,ok
p7008,7007,7,1,"a colossal neon-lit airship hovering above a dystopian city, cybernetic gears and holographic displays, by a professional neonpunk artist, trending on ArtStation",bottom,7019346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7008__seed_7019346.png,14.458564,ok
p7009,7008,8,1,"Giancarlo Esposito as Dhalsim, 8-bit jump kick, pixel art, vibrant color palette, retro gaming style, dynamic perspective, sharp focus, high resolution",bottom,7020346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7009__seed_7020346.png,14.4754,ok
p7010,7009,9,1,"8-bit Mexican pueblo in lush valley, pixelated colors, retro gaming feel",bottom,7021346,1,1000,stabilityai/stable-diffusion-3.5-large,25,7.0,1024,1024,/scratch/s5470161/bscthesis/results/sd35_7320_2ndseed/chunk_7/images/p7010__seed_7021346.png,14.894228,ok
